City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Karasjok,NO,1/5/2021 21:40,69.4719,25.5112,21.2,79,0,8.05
134,Camacha,PT,1/5/2021 21:40,33.0833,-16.3333,62.6,88,20,8.05
135,Barcelos,PT,1/5/2021 21:35,41.5388,-8.6151,39,93,0,1.12
136,Bouna,CI,1/5/2021 21:40,9.2667,-3,81.59,16,1,4.5
137,Tautira,PF,1/5/2021 21:40,-17.7333,-149.15,84.2,70,75,3.36
138,Komsomolskiy,UZ,1/5/2021 21:40,40.4272,71.7189,23,79,90,6.93
139,Puerto Madryn,AR,1/5/2021 21:39,-42.7692,-65.0385,70.61,41,0,16.89
140,Damara,CF,1/5/2021 21:40,4.9608,18.7035,75.96,63,2,2.57
141,Ornskoldsvik,SE,1/5/2021 21:40,63.2909,18.7153,1.4,91,0,3.36
142,Khorostkiv,UA,1/5/2021 21:40,49.2111,25.9217,37,99,100,3
143,Mehamn,NO,1/5/2021 21:40,71.0357,27.8492,35.6,93,75,16.11
144,Norco,US,1/5/2021 21:40,33.9311,-117.5487,69.01,52,1,5.82
145,Amapa,BR,1/5/2021 21:40,1,-52,74.08,93,87,3.85
146,Kodiak,US,1/5/2021 21:40,57.79,-152.4072,37.4,86,90,25.28
147,Cuxhaven,DE,1/5/2021 21:40,53.8718,8.6909,35.01,86,75,13.87
148,Dicabisagan,PH,1/5/2021 21:40,17.0818,122.4157,75.04,87,54,7.52
149,Mount Isa,AU,1/5/2021 21:40,-20.7333,139.5,80.6,32,75,13.87
150,Boras,SE,1/5/2021 21:40,57.721,12.9401,30.99,86,90,13.87
151,Letlhakane,BW,1/5/2021 21:40,-21.4167,25.5833,79.93,46,51,2.98
152,Upernavik,GL,1/5/2021 21:40,72.7868,-56.1549,7.59,93,100,15.1
153,San Cristobal,VE,1/5/2021 21:40,7.7669,-72.225,73.89,61,70,2.33
154,Noumea,NC,1/5/2021 21:40,-22.2763,166.4572,84,88,90,8.05
155,Ancud,CL,1/5/2021 21:40,-41.8697,-73.8203,68,52,0,8.05
156,Gongzhuling,CN,1/5/2021 21:40,43.5008,124.8198,-3.1,85,100,7.52
157,Ambelokipoi,GR,1/5/2021 21:40,37.7667,20.8667,48.2,87,40,6.93
158,Saint-Philippe,RE,1/5/2021 21:40,-21.3585,55.7679,75.2,78,75,2.24
159,Elhovo,BG,1/5/2021 21:40,42.1667,26.5667,44.01,100,5,4.7
160,Namibe,AO,1/5/2021 21:36,-15.1961,12.1522,72.55,74,76,7.11
161,Qandala,SO,1/5/2021 21:40,11.472,49.8728,73.71,48,0,6.38
162,Raga,SS,1/5/2021 21:40,8.4596,25.678,71.85,27,0,4.38
163,Hirara,JP,1/5/2021 21:40,24.8,125.2833,66.56,78,100,27.87
164,Arlit,NE,1/5/2021 21:40,18.7369,7.3853,78.84,17,0,8.72
165,Jegalia,RO,1/5/2021 21:40,44.3,27.6333,48.99,87,5,8.05
166,Atar,MR,1/5/2021 21:40,20.5169,-13.0499,70.92,37,100,2.06
167,Rock Sound,BS,1/5/2021 21:40,24.9,-76.2,72.39,68,56,10.78
168,Palmas De Monte Alto,BR,1/5/2021 21:40,-14.2672,-43.1619,80.04,47,20,5.7
169,Amahai,ID,1/5/2021 21:40,-3.3333,128.9167,82,93,100,4.5
170,Bredasdorp,ZA,1/5/2021 21:40,-34.5322,20.0403,59,82,1,3.36
171,La Ronge,CA,1/5/2021 21:40,55.1001,-105.2842,19.4,85,100,9.17
172,Arraial Do Cabo,BR,1/5/2021 21:40,-22.9661,-42.0278,82.4,74,40,11.41
173,Tamandare,BR,1/5/2021 21:40,-8.7597,-35.1047,78.13,72,7,7.16
174,Erzin,TR,1/5/2021 21:40,36.9559,36.2,55.99,48,58,8.99
175,Yumen,CN,1/5/2021 21:40,40.2833,97.2,2.61,72,0,12.97
176,Salinopolis,BR,1/5/2021 21:40,-0.6136,-47.3561,81,76,5,12.1
177,Fortuna,US,1/5/2021 21:40,40.5982,-124.1573,57.99,62,1,11.41
178,Payo,ID,1/5/2021 21:40,-3.7508,103.6372,73.8,93,99,2.24
179,Haines Junction,CA,1/5/2021 21:40,60.7522,-137.5108,9.5,91,100,1.32
180,Norman Wells,CA,1/5/2021 21:40,65.282,-126.8329,-18.4,75,40,3.36
181,Okhotsk,RU,1/5/2021 21:40,59.3833,143.3,-12.37,81,97,13.78
182,Marovoay,MG,1/5/2021 21:40,-16.1,46.6333,82.4,78,20,5.82
183,Puro,PH,1/5/2021 21:40,12.4841,123.3827,78.22,84,13,13.85
184,Udachnyy,RU,1/5/2021 21:40,66.4167,112.4,-4,83,75,6.71
185,Bilhaur,IN,1/5/2021 21:40,26.85,80.0833,64.56,54,0,2.95
186,Nelson Bay,AU,1/5/2021 21:40,-32.7167,152.15,73.99,88,90,9.17
187,Juneau,US,1/5/2021 21:38,58.3019,-134.4197,41,65,90,23.04
188,Manono,CD,1/5/2021 21:40,-7.3,27.4167,70.83,84,100,1.63
189,Anjiang,CN,1/5/2021 21:40,27.3194,110.1031,38.12,77,82,2.91
190,Bethel,US,1/5/2021 21:40,41.3712,-73.414,36,84,98,3.94
191,Katsuura,JP,1/5/2021 21:40,35.1333,140.3,42.8,81,75,12.75
192,Djibo,BF,1/5/2021 21:40,14.1022,-1.6306,78.13,18,0,7.65
193,Bisho,ZA,1/5/2021 21:40,-32.8472,27.4422,64.11,96,100,5.39
194,Vila Velha,BR,1/5/2021 21:40,-20.3297,-40.2925,80.6,74,20,19.46
195,Karatau,KZ,1/5/2021 21:40,43.1667,70.4667,9.14,90,97,0.67
196,Saskylakh,RU,1/5/2021 21:40,71.9167,114.0833,-2.06,90,97,14.65
197,Leningradskiy,RU,1/5/2021 21:40,69.3833,178.4167,-9.65,87,100,14.09
198,Dikson,RU,1/5/2021 21:40,73.5069,80.5464,16.79,96,100,26.04
199,Nhulunbuy,AU,1/5/2021 21:40,-12.2333,136.7667,80.6,100,40,4.7
200,San Patricio,US,1/5/2021 21:40,28.017,-97.5169,73.4,78,75,10.29
201,Chute-Aux-Outardes,CA,1/5/2021 21:40,49.1168,-68.399,28.4,79,90,10.29
202,Hwange,ZW,1/5/2021 21:40,-18.3693,26.5019,71.17,76,22,1.57
203,Tiznit,MA,1/5/2021 21:40,29.5833,-9.5,56.82,86,50,2.1
204,Chuy,UY,1/5/2021 21:40,-33.6971,-53.4616,73.26,82,79,16.84
205,Savelugu,GH,1/5/2021 21:40,9.6244,-0.8253,85.46,14,0,5.03
206,Tessalit,ML,1/5/2021 21:40,20.1986,1.0114,67.95,21,98,8.12
207,Lakes Entrance,AU,1/5/2021 21:40,-37.8811,147.981,64,88,55,4
208,Sao Joao Da Barra,BR,1/5/2021 21:40,-21.6403,-41.0511,82.4,69,0,13.87
209,Chokurdakh,RU,1/5/2021 21:40,70.6333,147.9167,-13,90,100,10.56
210,Kiomboi,TZ,1/5/2021 21:40,-4.2667,34.3667,63.25,91,100,3.42
211,Huarmey,PE,1/5/2021 21:40,-10.0681,-78.1522,72.23,79,96,9.17
212,Richards Bay,ZA,1/5/2021 21:40,-28.783,32.0377,75.33,93,91,7.18
213,Alta Floresta,BR,1/5/2021 21:40,-9.8756,-56.0861,76.55,92,100,1.72
